المفرد,النوع,الجمع,الأمثلة
فَعْلَى,صفة,فِعال,إذا كانت فَعْلَى مؤنث فَعْلان: عَطْشَى عِطاش، غَضْبَى غِضاب، عَجْلَى عِجال، ظَمْأَى ظِماء، رَيّا رِواء، هَيْمَى هِيام ...
فَعْلَى,اسم,فَعالَى,فَتْوَى فَتاوَى، دَعْوَى دَعاوَى، نَجْوَى نَجاوَى، عَلْقَى عَلاقَى ...
فَعْلَى,صفة,فَعالَى,غَضْبَى غَضابَى، سَكْرَى سَكارَى، كَسْلَى كَسالَى، عَطْشَى عَطاشَى، نَشْوَى نَشاوَى ...
فَعْلَى,صفة,فُعالَى,غَضْبَى غُضابَى، سَكْرَى سُكارَى، كَسْلَى كُسالَى، عَطْشَى عُطاشَى ...
فُعْلَى,صفة,فَعالٍ,فيما لا مذكر له: حُبْلَى حَبالٍ ...
فُعْلَى,صفة,فِعال,‏(سماعي، وقيل قياسي): أُنْثَى إناث ...
فُعْلَى,صفة,فَعالَى,فيما لا مذكر لـه: حُبْلَى حَبالى، أُنْثَى أَناثَى، خُنْثَى خَناثَى...
فُعْلَى,اسم,فُعَل,‏(سماعي، وقيل قياسي): رُؤْيا رُؤَى، رُجْعَى رُجَع ...
فُعْلَى,صفة,فُعَل,إذا كانت فُعْلَى مؤنث أَفْعَل: كُبْرَى كُبَر، صُغْرَى صُغَر، وُسْطَى وُسَط، فُضْلَى فُضَل ...
فِعْلَى,اسم,فَعالٍ,ذِفْرَى ذَفارٍ ...
فِعْلَى,اسم,فَعالَى,ذِفْرَى ذَفارَى ...
فِعْلَى,اسم,فِعَل,‏(سماعي، وقيل قياسي): ذِكْرَى ذِكَر ...
فَعْلِيّ,اسم,فَعالِيّ,الياء المشددة لغير النسب: بَرْدِيّ بَرادِيّ، نَفِّيّ نَفافِيّ ...
فُعْلِيّ,اسم,فَعالِيّ,الياء المشددة لغير النسب: كُرْسِيّ كَراسِيّ، قُمْرِيّ قَمارِيّ، كُرْكِيّ كَراكِيّ، نُمِّيّ نَمامِيّ، بُجْرِيّ بَجارِيّ ...
فِعْلِيّ,اسم,فَعالِيّ,الياء المشددة لغير النسب: زِرْبِيّ زَرابِيّ ... وشذ: قِبْطِيّ قَباطِيّ ...
فَعْلِيَّة,اسم,فَعالِيّ,بَرْنِيَّة بَرانِيّ ...
فُعْلِيَّة,اسم,فَعالٍ,‏(سماعي): ذُرِّيَّة ذَرارٍ، عُلِّيَّة عَلالٍ ...
فُعْلِيَّة,اسم,فَعالِيّ,قُطْنِيَّة قَطانِيّ، بُجْرِيَّة بَجارِيّ ...
فِعْلِيَة,اسم,فَعالٍ,هِبْرِيَة هَبارٍ، حِذْرِيَة حَذارٍ ...
فِعْلِيَة,اسم,فَعالِيَة,زِبْنِيَة زَبانِيَة ...
فِعْلِيَّة,اسم,فَعالِيّ,دِرْعِيَّة دَراعِيّ، زِلِّيَّة زَلالِيّ، فِلِّيَّة فَلالِيّ ...
فِعْلِيل,اسم,فَعالِيل,قِنْدِيل قَنادِيل، تِلْمِيذ تَلامِيذ، صِهْرِيج صَهارِيج، دِهْلِيز دَهالِيز ...
فِعْلِيل,صفة,فَعالِيل,زِنْدِيق زَنادِيق، غِطْرِيس غَطارِيس ...
فَعَنْلُوة,اسم,فَعالٍ,قَلَنْسُوة قَلاسٍ ...
فَعُول,اسم,أَفاعِيل,‏(سماعي): عَرُوض أَعارِيض ...
فَعُول,اسم,أَفْعال,‏(سماعي): فَلُوّ أَفْلاء ...
فَعُول,صفة,أَفْعال,‏(سماعي): عَدُوّ أَعْداء ...
فَعُول,اسم,أَفْعُل,‏(سماعي): رَسُول أَرْسُل ...
فَعُول,اسم,أَفْعِلة,المذكر: عَمُود أَعْمِدة، خَرُوف أَخْرِفة، ذَنُوب أَذْنِبة ...
فَعُول,اسم,فَعائِل,‏- المؤنث المعنوي: عَرُوس عَرائِس، ذَنُوب ذَنائِب، سَمُوم سَمائِم، جَنُوب جَنائِب ... وشذ: جَزُور جَزائِر ... - إذا كان بمعنى مفعول: رَكُوب رَكائِب، حَلُوب حلائِب...
فَعُول,صفة,فَعائِل,المؤنث المعنوي: عَجُوز عَجائِز، سَلُوب سَلائِب، جَدُود جَدائِد، حَلُوب حَلائِب ...
فَعُول,اسم,فِعال,‏(سماعي): قَلُوص قِلاص، ذَنُوب ذِناب...
فَعُول,اسم,فَعَل,‏(سماعي): عَمُود عَمَد ...
فَعُول,صفة,فُعَل,‏(سماعي): عَدُوّ عُدًا، نَقُوق نُقَق ...
فَعُول,اسم,فُعُل,غير المضعف وغير المعتل اللام: رَسُول رُسُل، عَمُود عُمُد، خَرُوف خُرُف، قَدُوم قُدُم ...
فَعُول,صفة,فُعُل,إذا كان بمعنى فاعِل: صَبُور صُبُر، عَجُول عُجُل، غَيُور غُيُر، شَرُود شُرُد، عَجُوز عُجُز ...
فَعُول,صفة,فُعَّل,‏(سماعي): هَجُود هُجَّد، سَرُوء سُرَّأ ...
فَعُول,صفة,فُعْل,‏(سماعي): نَمُوم نُمّ، سَحُوق سُحْق، خَرُوط خُرْط، نَقُوق نُقّ، فَلُوع فُلْع، لَبُون لُبْن، لَمُوس لُمْس ...
فَعُول,اسم,فِعَل,‏(سماعي): عَدُوّ عِدًا.
فَعُول,صفة,فُعَلاء,‏(سماعي): وَدُود وُدَداء، رَسُول رُسَلاء ...
فَعُول,اسم,فِعْلان,‏(سماعي، وقيل قياسي): خَرُوف خِرْفان، عَمُود عِمْدان، قَعُود قِعْدان ...
فَعُول,اسم,فُعُول,‏(سماعي): سَحُور سُحُور، فَلُوّ فُلِيّ ...
فَعُول,صفة,فُعُول,‏(سماعي): هَجُود هُجُود، بَهُوت بُهُوت ...
فَعُّول,اسم,فَعاعِيل,فَرُّوج فَرارِيج، دَبُّوس دَبابِيس ...
فَعُولة,اسم,فَعائِل,حَمُولة حَمائِل، أَكُولة أَكائِل، تَنُوفة تَنائِف ...
فَعُولة,صفة,فَعائِل,حَلُوبة حَلائِب، رَكُوبة رَكائِب ...
فَعُولة,اسم,فُعُل,‏(سماعي): عَلُوفة عُلُف ...
فَعِيل,اسم,أَفاعِل,‏(سماعي): بَعِير أَباعِر، يَمِين أَيامِن ...
فَعِيل,اسم,أَفاعِيل,‏(سماعي): حَدِيث أَحادِيث، قَطِيع أَقاطِيع، يَمِين أَيامِين، مَدِيح أَمادِيح، بَعِير أَباعِير ...
فَعِيل,اسم,أَفْعال,‏(سماعي): يَمِين أَيْمان، أَصِيل آصال، قَطِيع أَقْطاع ...
فَعِيل,صفة,أَفْعال,‏(سماعي): يَتِيم أَيْتام، شَرِيف أَشْراف، نَصِير أَنْصار، شَرِيك أَشْراك، قَصِيّ أَقْصاء، بَرِيء أَبْراء، وَزِير أَوْزار، شَهِيد أَشْهاد، بَدِيل أَبْدال، نَجِيب أَنْجاب، مَرِيع أَمْراع، كَمِيّ أَكْماء، فَنِيق أَفْناق، مَشِيج أَمْشاج ...
فَعِيل,اسم,أَفْعُل,المؤنث المعنوي: يَمِين أَيْمُن، سَبِيل أَسْبُل، طَرِيق أَطْرُق ... وشذ: صَبِيّ أَصْبٍ، جَبِين أَجْبُن، جَنِين أَجْنُن ...
فَعِيل,اسم,أَفْعِلاء,‏(سماعي): نَصِيب أَنْصِباء، فَرِيق أَفْرِقاء، خَمِيس أَخْمِساء، عَشِير أَعْشِراء، رَبِيع أَرْبِعاء، طَرِيق أَطْرِقاء ...
فَعِيل,صفة,أَفْعِلاء,المعتل اللام أو المضعف، للمذكر العاقل: نَبِيّ أَنْبِياء، عَزِيز أَعِزّاء، شَحِيح أَشِحّاء، قَوِيّ أَقْوِياء، غَنِيّ أَغْنِياء، ذَكِيّ أَذْكِياء، خَلِيل أَخِلاّء، طَبِيب أَطِبّاء، ضَرِير أَضِرّاء ... وشذ: صَدِيق أَصْدِقاء، بَرِيء أَبْرِياء، قَسِيم أَقْسِماء ...
فَعِيل,اسم,أَفْعِلة,المذكر: رَغِيف أَرْغِفة، جَنِين أَجِنَّة، سَرِير أَسِرَّة، كَثِيب أَكْثِبة، قَمِيص أَقْمِصة ...
فَعِيل,صفة,أَفْعِلة,‏(سماعي): شَحِيح أَشِحَّة، عَزِيز أَعِزَّة، ذَلِيل أَذِلَّة ...
فَعِيل,اسم,فَعائِل,المؤنث المعنوي: خَرِيق خَرائِق ... وشذ: مَدِيح مَدائِح، وَصِيد وَصائِد، ضَمِير ضَمائِر، ضَرِيك ضَرائِك، جَنِين جَنائِن، حَنِين حَنائِن، أَصِيل أَصائِل، فَرِيد فَرائِد، حَدِيد حَدائِد، ضريح ضرائح ...
فَعِيل,صفة,فَعائِل,‏(سماعي): أَلِيف أَلائِف، قَدِيم قَدائِم، جَلِيل جَلائِل، خَشِيب خَشائِب، تَبِيع تَبائِع ...
فَعِيل,اسم,فِعال,‏(سماعي): فَصِيل فِصال، قَطِيع قِطاع ...
فَعِيل,صفة,فِعال,الصحيح اللام بمعنى فاعل: كَرِيم كِرام، ظَرِيف ظِراف، قَوِيم قِوام، صَغِير صِغار، طَوِيل طِوال، سَمِين سِمان ... وشذ (لأنه بمعنى مفعول): رَبِيط (بمعنى مربوط) رِباط ...
فَعِيل,صفة,فَعالَى,‏(سماعي): كَسِير كَسارَى، ضَعِيف ضَعافَى، يَتِيم يَتامَى، مَرِيض مَراضَى، سَبِيّ سَبايا، صَفِيّ صَفايا، رَئِيس رَآسَى، بَغِير بَغارَى ...
فَعِيل,صفة,فُعالَى,‏(سماعي): قَدِيم قُدامَى، أَسِير أُسارَى ...
فَعِيل,صفة,فُعَل,‏(سماعي): هَجِين هُجَن ...
فَعِيل,اسم,فُعُل,غير المضعف وغير المعتل اللام: رَغِيف رُغُف، قَضِيب قُضُب، غَدِير غُدُر، طَرِيق طُرُق، خَلِيج خُلُج ... وشذ: سَرِير سُرُر ...
فَعِيل,صفة,فُعُل,‏(سماعي): جَدِيد جُدُد، نَذِير نُذُر، صَدِيق صُدُق، ظَرِيف ظُرُف، نَجِيب نُجُب ...
فَعِيل,اسم,فُعْل,‏(سماعي): قَلِيب قُلْب ...
فَعِيل,صفة,فُعَلاء,الصحيح اللام وغير المضعف، لمذكر عاقل، بمعنى فاعل، للدلالة على مدح أو ذم: كَرِيم كُرَماء، ظَرِيف ظُرَفاء، رَحِيم رُحَماء، حَلِيم حُلَماء، خَبِير خُبَراء ... وشذ (لأنه بمعنى مفعول): أَسِير أُسَراء، قَتِيل قُتَلاء، سَجِين سُجَناء، دَفِين دُفَناء، جَلِيب جُلَباء، شَهِيد شُهَداء ... وشذ (لأنه معتل اللام): تَقِيّ تُقَواء، سَرِيّ سُرَواء، سَخِيّ سُخَواء، حَفِيّ حُفَواء، نَقِيّ نُقَواء ... يستثنى من فعيل أربعة ألفاظ (هي: صغير، وصبيح، وطويل، وسمين) لا تُجمَع على فُعلاء وإنما على فِعال.
فَعِيل,اسم,فُعْلان,قَمِيص قُمْصان، قَضِيب قُضْبان، رَغِيف رُغْفان، خَلِيج خُلْجان، كَثِيب كُثْبان، قَفِيز قُفْزان ...
فَعِيل,صفة,فُعْلان,‏(سماعي): لَئِيم لُؤْمان، صَدِيق صُدْقان ...
فَعِيل,اسم,فِعْلان,‏(سماعي): صَبِيّ صِبْيان، حَدِيث حِدْثان، ظَلِيم ظِلْمان، بَعِير بِعْران ...
فَعِيل,صفة,فَعَلة,‏(سماعي): ضَعِيف ضَعَفة، خَبِيث خَبَثة، يَتِيم يَتَمة، سَرِيّ سَراة ...
فَعِيل,صفة,فُعَلة,‏(سماعي): كَمِيّ كُماة، رَذِيّ رُذاة ...
فَعِيل,اسم,فِعْلة,‏(سماعي): صَبِيّ صِبْية، شَلِيل شِلَّة ...
فَعِيل,صفة,فِعْلة,‏(سماعي): خَصِيّ خِصْية، عَلِيّ عِلْية، جَلِيل جِلَّة ...
فَعِيل,صفة,فَعْلَى,‏- إذا كانت بمعنى مفعول، دالة على آفة أو مكروه يصاب به الحيّ: قَتِيل قَتْلى، جَرِيح جَرْحَى، صَرِيع صَرْعَى، أَسِير أَسْرَى، سَجِين سَجْنَى، سَلِيب سَلْبَى ... وشذ: غَسِيل غَسْلَى ... - إذا كانت وصفًا للفاعل للدلالة على هلك أو توجع …: مَرِيض مَرْضَى، شَتِيت شَتَّى، كَسِير كَسْرَى ...
فُعَّيْل,اسم,فَعاعِيل,دُمَّيْص دَمامِيص ...
فِعِّيل,اسم,فَعاعِيل,سِكِّين سَكاكِين، تِنِّين تَنانِين ...
فَعِيلة,اسم,أَفْعِلة,‏(سماعي): نَضِيضَة أَنِضَّة ...
فَعِيلة,اسم,فَعائِل,صَحِيفة صَحائِف، قَبِيلة قَبائِل، ضَرِيبة ضَرائِب، عَشِيرة عَشائِر، كَتِيبة كَتائِب، حَدِيقة حَدائِق ...
فَعِيلة,صفة,فَعائِل,إذا لم تكن بمعنى مفعولة: كَبِيرة كَبائِر، ظَرِيفة ظَرائِف، لَطِيفة لَطائِف، دَمِيمة دَمائِم، شَرِيكة شَرائِك ... وشذ: ذَبِيحة ذَبائِح، ذَخِيرة ذَخائِر، وَدِيعة وَدائِع، تَريِكة تَرائِك ...
فَعِيلة,صفة,فِعال,الصحيح اللام بمعنى فاعلة: ظَرِيفة ظِراف، قَوِيمة قِوام، صَغِيرة صِغار، طَوِيلة طِوال، سَمِينة سِمان، كَرِيمة كِرام ...
فَعِيلة,اسم,فَعالَى,‏(سماعي): قَضِيَّة قَضايا، مَطِيَّة مَطايا، عَشِيَّة عَشايا، ضَحِيَّة ضَحايا، هَدِيَّة هَدايا، وَصِيَّة وَصايا، تَحِيَّة تَحايا، حَوِيَّة حَوايا ...
فَعِيلة,اسم,فُعُل,‏(سماعي): سَفِينة سُفُن، صَحِيفة صُحُف، مَدِينة مُدُن، جَزِيرة جُزُر، قَطِيفة قُطُف، ظَعِينة ظُعُن ...
فَعِيلة,اسم,فُعْل,‏(سماعي): مَدِينة مُدْن، جَزِيرة جُزْر، ظَعِينة ظُعْن ...
فَعِيلة,صفة,فُعْل,‏(سماعي): هَجِينة هُجْن، عَمِيمة عُمّ ...
فَعِيلة,اسم,فُعَلاء,‏(سماعي): خَلِيفة خُلَفاء ...
فَعِيلة,صفة,فُعَلاء,‏(سماعي): فَقِيرة فُقَراء، ظَرِيفة ظُرَفاء، سَفِيهة سُفَهاء، فَقِيهة فُقَهاء ...
فَعِيلة,اسم,فَعِيل,‏(سماعي): سَفِينة سَفِين، حَدِيدة حَدِيد، وَسِيلة وَسِيل ...
فُعِيلة,اسم,فَعالَى,‏(سماعي): وُقِيَّة وَقايا ...
فُوعال,اسم,فَواعِيل,دُولاب دَوالِيب، طُومار طَوامِير، سُولاف سَوالِيف ...
فَوْعَل,اسم,فَواعِل,جَوْهَر جَواهِر، زَوْرَق زَوارِق، كَوْكَب كَواكِب ...
فَوْعَلة,اسم,فَواعِل,زَوْبَعة زَوابِع، جَوْهَرة جَواهِر، صَوْمَعة صَوامِع، قَوْصَرة قَواصِر، حَوْصَلة حَواصِل ...
فَيْعال,اسم,فَياعِلة,بَيْطار بَياطِرة ...
فَيْعال,اسم,فَياعِيل,بَيْطار بَياطِير، صَيْراف صَيارِيف ...
فِيعال,اسم,فَعاعِيل,دِينار دَنانِير، قِيراط قَرارِيط، دِيباج دَبابِيج، دِيماس دَمامِيس ...
فِيعال,اسم,فَياعِيل,دِيباج دَيابِيج، دِيماس دَيامِيس ...
فَيْعَل,اسم,فَياعِل,بَيْدَر بَيادِر، هَيْكَل هَياكِل، فَيْلَق فَيالِق، عَيْلَم عَيالِم، ضَيْغَم ضَياغِم، صَيْقَل صَياقِل ... ولم يأت من المعتل سوى: عَيَّن عَيائِن.
فَيْعَل,صفة,فَياعِل,ضَيْغَم ضَياغِم ...
فَيْعَل,اسم,فَياعِلة,حَيْدَر حَيادِرة، ضَيْغَم ضَياغِمة، صَيْقَل صَياقِلة ...
فَيْعَل,صفة,فَياعِلة,ضَيْغَم ضَياغِمة ...
فَيْعِل,اسم,أَفْعال,‏(سماعي): حَيِّز أَحْياز ...
فَيْعِل,صفة,أَفْعال,‏(سماعي): مَيِّت أَمْوات ...
فَيْعِل,صفة,أَفْعِلاء,‏(سماعي): هَيِّن أَهْوِناء، لَيِّن أَلْيِناء ...
فَيْعِل,صفة,فَعائِل,‏(سماعي): جَيِّد جَيائِد ...
فَيْعِل,صفة,فِعال,‏(سماعي): خَيِّر خِيار، جَيِّد جِياد ...
فَيْعِل,صفة,فَعالَى,‏(سماعي): أَيِّم أَيامَى ...
فَيْعِل,صفة,فُعَلاء,‏(سماعي): شَيِّر شُوَراء، بَيِّن بُيَناء ...
فَيْعِل,صفة,فَعَلة,‏(سماعي): سَيِّد سادة ...
فَيْعِل,صفة,فَعْلَى,إذا دل على آفة أو مكروه: مَيِّت مَوْتَى ... وشذ: كَيِّس كَيْسَى ...
فَيْعَلان,اسم,فَياعِلة,طَيْلَسان طَيالِسة ...
فَيْعَلة,اسم,فَياعِل,هَيْزَعة هَيازِع ...
فَيْعِلة,صفة,أَفْعال,‏(سماعي): مَيِّتة أَمْوات ...
فَيْعِلة,صفة,فِعال,‏(سماعي): خَيِّرة خِيار ...
فَيْعِلة,صفة,فَعْلَى,إذا دلّ على آفة أو مكروه: مَيِّتة مَوْتَى ...
فَيْعَلِيّ,اسم,فَياعِلة,صَيْرَفِيّ صَيارِفة ...
فَيْعُول,اسم,فَياعِيل,خَيْشُوم خَياشِيم، قَيْصُوم قَياصِيم، عَيْثُوم عَياثِيم ...
مِفْعال,اسم,مَفاعِيل,مِصْباح مَصابِيح، مِفْتاح مَفاتِيح، مِنْشار مَناشِير، مِيزان مَوازِين، مِيراث مَوارِيث، مِذْياع مَذايِيع ...
مِفْعال,صفة,مَفاعِيل,مِهْذار مَهاذِير، مِطْعان مَطاعِين ...
مَفْعَل,اسم,مَفاعِل,مَلْعَب مَلاعِب، مَعْهَد مَعاهِد، مَصْنَع مَصانِع ...
مَفْعَل,صفة,مَفاعِل,مَوْلَى مَوالٍ، مَقْنَع مَقانِع ...
مَفْعِل,اسم,مَفاعِل,مَسْجِد مَساجِد، مَجْلِس مَجالِس، مَهْبِط مَهابِط، مَعْرِض مَعارِض، مَنْكِب مَناكِب ...
مَفْعِل,صفة,مَفاعِل,مَنْكِب مَناكِب ...
مُفْعَل,اسم,مَفاعِل,مُصْحَف مَصاحِف، مُخْدَع مَخادِع، مُوسَى مَواسٍ ...
مُفْعَل,صفة,مَفاعِل,غير العاقل: مُصْعَب مَصاعِب ...
مُفْعَل,صفة,مَفاعِيل,‏(سماعي): مُنْكَر مَناكِير ...
مُفْعُل,اسم,مَفاعِل,مُنْخُل مَناخِل، مُدْهُن مَداهِن، مُسْعُط مَساعِط ...
مُفْعِل,صفة,مَفاعِل,المؤنث: مُرْضِع مَراضِع، مُطْفِل مَطافِل ...
مُفْعِل,صفة,مَفاعِيل,‏(سماعي): مُوسِر مَياسِير ...
مِفْعَل,اسم,مَفاعِل,مِنْبَر مَنابِر، مِرْفَق مَرافِق، مِبْرَد مَبارِد، مِغْزَل مَغازِل، مِخْلَب مَخالِب ...
مِفْعَل,صفة,مَفاعِل,مِدْعَس مَداعِس، مِطْعَن مَطاعِن ...
مِفْعِل,اسم,مَفاعِل,مِنْخِر مَناخِر ...
مَفْعَلة,اسم,مَفاعِل,مَرْحَلة مَراحِل، مَصْلَحة مَصالِح، مَبْخَرة مَباخِر، مَنارة مَنائِر ...
مَفْعُلة,اسم,مَفاعِل,مَكْرُمة مَكارِم، مَزْرُعة مَزارِع، مَقْبُرة مَقابِر ...
مَفْعِلة,اسم,مَفاعِل,مَعْرِفة مَعارِف، مَكِيدة مَكايِد، مَعْذِرة مَعاذِر، مَضْرِبة مَضارِب ...
مُفْعُلة,اسم,مَفاعِل,مُكْحُلة مَكاحِل، مُحْرُضة مَحارِض ...
مِفْعَلة,اسم,مَفاعِل,مِمْسَحة مَماسِح، مِشْرَبة مَشارِب، مِصْفاة مَصافٍ، مِطْرَقة مَطارِق، مِلْعَقة مَلاعِق ...
مَفْعُول,اسم,مَفاعِيل,مَنْشُور مَناشِير، مَوْشُور مَواشِير، مَسْحُوق مَساحِيق، مَصْرُوف مَصارِيف، مَوْضُوع مَواضِيع، مَشْرُوع مَشارِيع، مَحْصُول مَحاصِيل ...
مَفْعُول,صفة,مَفاعِيل,مَلْعُون مَلاعِين، مَيْسُور مَياسِير، مَيْمُون مَيامِين، مَجْنُون مَجانِين، مَشْهُور مَشاهِير، مَحْمُود مَحامِيد ...
مَفْعُولة,اسم,مَفاعِيل,مَرْجُوحة مَراجِيح، مَطْمُورة مَطامِير ...
مَفْعُولة,صفة,مَفاعِيل,مَيْمُونة مَيامِين، مَيْسُورة مَياسِير، مَلْعُونة مَلاعِين، مَجْنُونة مَجانِين ...
مِفْعِيل,اسم,مَفاعِيل,مِنْدِيل مَنادِيل ...
مِفْعِيل,صفة,مَفاعِيل,مِسْكِين مَساكِين، مِعْطِير مَعاطِير، مِئْشِير مَآشِير ...
يَفْعَل,اسم,يَفاعِل,يَرْمَع يَرامِع، يَحْمَد يَحامِد، يَلْمَع يَلامِع، يَعْمَل يَعامِل...
يَفْعُول,اسم,يَفاعِيل,يَنْبُوع يَنابِيع، يَرْبُوع يَرابِيع، يَعْسُوب يَعاسِيب ...
يَفْعُول,صفة,يَفاعِيل,يَحْمُوم يَحامِيم، يَخْضُور يَخاضِير، يَحْمُور يَحامِير ...
يَفْعِيل,اسم,يَفاعِيل,يَقْطِين يَقاطِين ...
