المفرد,النوع,الجمع,الأمثلة
فاعِلة,اسم,فَعالَى,‏(سماعي): زاوِية زَوايا، راوِية رَوايا ...
فاعِلة,صفة,فُعَّل,الصحيح اللام: نائِمة نُوَّم، صائِمة صُوَّم، راكِعة رُكَّع، عاذِلة عُذَّل، راضِعة رُضَّع ...
فاعِلة,اسم,فَواعِل,جائِزة جَوائِز، مادَّة مَوادّ، حاسَّة حَواسّ، ناصِية نَواصٍ، ناحِية نَواحٍ، بادِية بَوادٍ ...
فاعِلة,صفة,فَواعِل,نائِمة نَوائِم، شاعِرة شَواعِر، كاتِبة كَواتِب، آلِفة أَوالِف، حامِلة حَوامِل، عارِية عَوارٍ ...
فاعُول,اسم,فَواعِيل,حاسُوب حَواسِيب، قامُوس قَوامِيس، حانُوت حَوانِيت، ناطُور نَواطِير، ساطُور سَواطِير، طاوُوس طَواوِيس، جامُوس جَوامِيس، ناقُوس نَواقِيس ...
فاعُول,صفة,فَواعِيل,جارُوف جَوارِيف، حاطُوم حَواطِيم ...
فاعُولة,اسم,فَواعِيل,قارُورة قَوارِير، طاحُونة طَواحِين، بالُوعة بَوالِيع ...
فَعال,صفة,أَفاعِل,‏(سماعي): جَواد أَجاوِد ...
فَعال,صفة,أَفاعِيل,‏(سماعي): جَواد أَجاوِيد ...
فَعال,صفة,أَفْعال,‏(سماعي): جَواد أَجْواد ...
فَعال,اسم,أَفْعُل,المؤنث المعنوي: عَناق أَعْنُق، أَتان آتُن ... وشذ: مَكان أَمْكُن، زَمان أَزْمُن، عَتاد أَعْتُد، نَهار أَنْهُر، جَناح أَجْنُح ...
فَعال,اسم,أَفْعِلة,المذكر: جَناح أَجْنِحة، طَعام أَطْعِمة، شَراب أَشْرِبة، زَمان أَزْمِنة، خَيال أَخْيِلة، دَواء أَدْوِية، قَباء أَقْبِية ... وشذ: سماء أَسْمِية ...
فَعال,اسم,فَعائِل,المؤنث المعنوي: شَمال شَمائِل ...
فَعال,صفة,فِعال,‏(سماعي): جَواد جِياد ...
فَعال,صفة,فَعالِيّ,‏(سماعي): رَخاخ رَخاخِيّ ...
فَعال,اسم,فُعُل,المذكر غير المضعف وغير المعتل اللام: جَناح جُنُح، قَذال قُذُل ...
فَعال,صفة,فُعُل,‏(سماعي): صَناع صُنُع، جَماد جُمُد، حَصان حُصُن، جَواد جُوُد، رَجاح رُجُح ...
فَعال,اسم,فُعْل,‏(سماعي): أَتان أُتْن ...
فَعال,صفة,فُعْل,‏(سماعي): جَواد جُود، نَوار نُور، عَوان عُون ...
فَعال,اسم,فِعَل,‏(سماعي): سَماء سِمًى ...
فَعال,صفة,فُعَلاء,‏(سماعي): جَبان جُبَناء، جَواد جُوَداء ...
فَعال,اسم,فِعْلان,‏(سماعي): غَزال غِزْلان ...
فَعال,صفة,فُعَلة,‏(سماعي): جَواد جُوَدة ...
فَعال,اسم,فِعْلة,‏(سماعي): غَزال غِزْلة ...
فَعال,اسم,فُعِيل,‏(سماعي): سَماء سُمِيّ ...
فَعَّال,صفة,فَعاعِلة,‏(سماعي): جَبّار جِبابِرة، دَجّال دَجاجِلة ...
فَعَّال,اسم,فَعاعِيل,فَدّان فَدادِين، قَذّاف قَذاذِيف ...
فَعَّال,صفة,فَعاعِيل,‏(سماعي): جَبّار جِبابِير، دَجّال دَجاجِيل ...
فَعَّال,صفة,فَعَّالة,‏(سماعي): نَبّال نَبَّالَة ...
فَعَّال,اسم,فُعَّل,‏(سماعي): خَنّاس خُنَّس ...
فَعَّال,صفة,فُعْل,‏(سماعي): خَوّار خُور.
فَعَّال,اسم,فَعَلة,‏(سماعي): أَكّار أَكَرة ...
فُعال,اسم,أَفْعال,‏(سماعي): غُثاء أَغْثاء ...
فُعال,اسم,أَفْعُل,المؤنث المعنوي: عُقاب أَعْقُب، كُراع أَكْرُع ... وشذ: غُراب أَغْرُب ...
فُعال,اسم,أَفْعِلة,المذكر: بُخار أَبْخِرة، دُعاء أَدْعِية، غُراب أَغْرِبة، خُراج أَخْرِجة، غُلام أَغْلِمة، دُخان أَدْخِنة ... وشذ: عُقاب أَعْقِبة ...
فُعال,اسم,فَعائِل,المؤنث المعنوي: عُقاب عَقائِب ...
فُعال,صفة,فِعال,‏(سماعي): طُوال طِوال، خُفاف خِفاف، شُجاع شِجاع، هُمام هِمام ...
فُعال,اسم,فُعُل,غير المضعف وغير المعتل اللام: قُراد قُرُد، رُواق رُوُق ... وشذ: شُعاع شُعُع ...
فُعال,اسم,فُعْل,‏(سماعي): ذُباب ذُبّ، غُراب غُرْب، خُوان خُون، رُواق رُوق ...
فُعال,صفة,فُعَلاء,‏(سماعي، وقيل قياسي في غير المعتل والمضعف): بُعاد بُعَداء، شُجاع شُجَعاء، خُفاف خُفَفاء ...
فُعال,اسم,فُعْلان,‏(سماعي): زُقاق زُقّان، ظُهار ظُهْران، حُوار حُوران ...
فُعال,صفة,فُعْلان,‏(سماعي، وقيل قياسي): شُجاع شُجْعان ...
فُعال,اسم,فِعْلان,الصحيح العين: غُلام غِلْمان، غُراب غِرْبان، قُراد قِرْدان، ذُباب ذِبّان ...
فُعال,صفة,فِعْلان,‏(سماعي، وقيل قياسي): شُجاع شِجْعان ...
فُعال,اسم,فِعْلة,‏(سماعي): غُلام غِلْمة ...
فُعال,صفة,فِعْلة,‏(سماعي): شُجاع شِجْعة ...
فُعال,اسم,فَواعِل,‏(سماعي): دُخان دَواخِن، عُثان عَواثِن.
